Order,Symbol,dynamicColors_GRS3_prot,mergedColors_prot,mergedColors_rm,Consensus_GRS3
5355,TMEM161B-AS1,yellow,plum2,lightcyan1,turquoise
5356,RPS3AP22,orange,orange,grey,skyblue
5357,LINC00461,turquoise,turquoise,thistle1,turquoise
5358,MEF2C,yellow,plum2,thistle1,turquoise
5359,MEF2C-AS1,darkgreen,darkgreen,lightcyan1,darkgreen
5360,CETN3,saddlebrown,navajowhite2,lavenderblush3,darkorange
5361,MBLAC2,thistle2,plum2,lightcyan1,turquoise
5362,POLR3G,yellow,plum2,lightcyan1,turquoise
5363,LYSMD3,darkgrey,darkgrey,mediumpurple3,magenta
5364,ADGRV1,lightcyan,darkgrey,lightcyan1,magenta
5365,ARRDC3,white,white,darkorange,darkgreen
5366,ARRDC3-AS1,grey,grey,sienna3,grey
5367,NR2F1-AS1,yellow,plum2,lightcyan1,turquoise
5368,NR2F1,green,green,brown,brown
5369,FAM172A,yellow,plum2,greenyellow,turquoise
5370,NPM1P27,sienna3,sienna3,salmon4,brown4
5371,POU5F2,orange,orange,darkgreen,grey
5372,KIAA0825,plum2,plum2,greenyellow,turquoise
5373,MTND6P3,turquoise,turquoise,thistle1,turquoise
5374,SLF1,turquoise,turquoise,lightcyan1,magenta
5375,MCTP1,darkmagenta,darkmagenta,grey,grey
5376,RPL7P18,grey,grey,grey,grey
5377,TTC37,turquoise,turquoise,thistle1,turquoise
5378,ARSK,grey,grey,grey,skyblue
5379,GPR150,blue,blue,black,blue
5380,RFESD,turquoise,turquoise,thistle1,turquoise
5381,SPATA9,turquoise,turquoise,thistle1,turquoise
5382,RHOBTB3,lightsteelblue1,lightsteelblue1,ivory,paleturquoise
5383,GLRX,grey,grey,grey,grey
5384,HSPD1P11,grey60,grey60,darkgreen,darkgreen
5385,LINC01554,grey,grey,grey,grey
5386,ELL2,yellow,plum2,lightcyan1,turquoise
5387,PCSK1,blue,blue,black,blue
5388,CAST,palevioletred3,darkgreen,lightcyan,darkgreen
5389,ERAP1,yellow,plum2,greenyellow,turquoise
5390,ERAP2,grey,grey,coral2,grey
5391,LNPEP,yellow,plum2,darkturquoise,magenta
5392,LIX1,lightcyan,darkgrey,lightcyan1,paleturquoise
5393,RIOK2,darkgrey,darkgrey,mediumpurple3,darkorange
5394,RNU1-73P,turquoise,turquoise,grey,grey
5395,LINC01340,grey,grey,grey,grey
5396,RGMB,green,green,black,purple
5397,CHD1,darkgreen,darkgreen,lightcyan,darkgreen
5398,FAM174A,darkred,darkred,grey60,pink
5399,ST8SIA4,turquoise,turquoise,lightcyan1,turquoise
5400,SLCO4C1,grey,grey,grey,grey
5401,PAM,yellow,plum2,thistle1,turquoise
5402,EIF3KP1,grey,grey,grey,grey
5403,GIN1,skyblue3,skyblue3,lightgreen,darkorange
5404,PPIP5K2,turquoise,turquoise,thistle1,turquoise
5405,C5orf30,turquoise,turquoise,lightcyan1,magenta
5406,NUDT12,turquoise,turquoise,thistle1,turquoise
5407,EFNA5,cyan,cyan,plum1,lightyellow
5408,FBXL17,turquoise,turquoise,lightcyan1,turquoise
5409,LINC01023,brown,brown,grey,green
5410,FER,black,black,greenyellow,turquoise
5411,PJA2,turquoise,turquoise,thistle1,turquoise
5412,MAN2A1,yellow,plum2,grey,grey
5413,RN7SKP230,brown,brown,blue,green
5414,TMEM232,black,black,greenyellow,turquoise
5415,MIR548F3,lightyellow,lightyellow,lightcyan1,grey
5416,SLC25A46,turquoise,turquoise,thistle1,turquoise
5417,WDR36,lightcyan,darkgrey,lightcyan1,magenta
5418,CAMK4,thistle2,plum2,thistle1,turquoise
5419,STARD4,turquoise,turquoise,lightcyan1,turquoise
5420,STARD4-AS1,tan,tan,grey,grey
5421,NREP,grey,grey,grey,grey
5422,RN7SKP57,grey,grey,grey,grey
5423,EPB41L4A,grey,grey,grey,grey
5424,EPB41L4A-AS1,skyblue3,skyblue3,thistle1,cyan
5425,SNORA13,grey,grey,thistle1,turquoise
5426,APC,yellow,plum2,thistle1,turquoise
5427,RNU6-482P,grey,grey,darkmagenta,grey
5428,SRP19,turquoise,turquoise,thistle1,turquoise
5429,REEP5,darkorange,darkorange,lightcyan1,magenta
5430,XBP1P1,green,green,brown,brown
5431,DCP2,saddlebrown,navajowhite2,lavenderblush3,darkorange
5432,MCC,lightcyan,darkgrey,lightcyan1,magenta
5433,YTHDC2,lightgreen,lightgreen,thistle1,turquoise
5434,KCNN2,skyblue,skyblue,darkgrey,steelblue
5435,TRIM36,floralwhite,floralwhite,darkslateblue,grey
5436,TRIM36-IT1,yellow,plum2,lightcyan1,turquoise
5437,PGGT1B,yellow,plum2,lightcyan1,turquoise
5438,CCDC112,black,black,lightgreen,cyan
5439,HMGN1P15,grey,grey,thistle1,turquoise
5440,FEM1C,darkorange,darkorange,saddlebrown,violet
5441,TMED7,lightcyan,darkgrey,lightcyan1,paleturquoise
5442,CDO1,lightcyan1,lightcyan1,grey60,pink
5443,ATG12,saddlebrown,navajowhite2,mediumpurple3,darkorange
5444,AP3S1,turquoise,turquoise,thistle1,turquoise
5445,COMMD10,turquoise,turquoise,lavenderblush3,darkorange
5446,SEMA6A,green,green,cyan,brown
5447,SEMA6A-AS1,turquoise,turquoise,thistle1,turquoise
5448,DTWD2,lightgreen,lightgreen,thistle1,turquoise
5449,PTMAP2,mediumpurple3,mediumpurple3,lightsteelblue1,lightsteelblue1
5450,MIR1244-2,turquoise,turquoise,lavenderblush3,pink
5451,DMXL1,plum2,plum2,thistle1,turquoise
5452,RNU6-701P,turquoise,turquoise,thistle1,turquoise
5453,MIR5706,yellow,plum2,greenyellow,grey
5454,HSD17B4,turquoise,turquoise,thistle1,pink
5455,PRR16,brown,brown,blue,red
5456,SRFBP1,black,black,lightgreen,cyan
5457,LOX,lightyellow,lightyellow,midnightblue,grey60
5458,SNCAIP,lightyellow,lightyellow,midnightblue,grey60
5459,SNX2,navajowhite2,navajowhite2,lavenderblush3,pink
5460,SNX24,yellow,plum2,lightcyan1,turquoise
5461,RN7SL689P,grey,grey,grey,grey
5462,PPIC,yellowgreen,grey60,grey,grey
5463,PRDM6,lightyellow,lightyellow,midnightblue,grey60
5464,CEP120,darkgreen,darkgreen,greenyellow,cyan
5465,KRT8P33,tan,tan,blue,red
5466,CSNK1G3,black,black,greenyellow,turquoise
5467,LINC01170,darkolivegreen,darkolivegreen,steelblue,skyblue3
5468,HMGB1P29,grey,grey,grey,grey
5469,ZNF608,black,black,grey,grey
5470,GRAMD3,lightsteelblue1,lightsteelblue1,ivory,paleturquoise
5471,ALDH7A1,turquoise,turquoise,thistle1,turquoise
5472,PHAX,black,black,lightgreen,brown4
5473,TEX43,grey,grey,grey,grey
5474,LMNB1,grey,grey,darkgreen,grey
5475,MARCH3,grey,grey,grey,grey
5476,C5orf63,turquoise,turquoise,thistle1,turquoise
5477,MEGF10,lightsteelblue1,lightsteelblue1,ivory,paleturquoise
5478,PRRC1,brown4,brown4,darkturquoise,magenta
5479,CTXN3,skyblue,skyblue,darkgrey,steelblue
5480,LINC01184,yellow,plum2,thistle1,turquoise
5481,SLC12A2,darkolivegreen,darkolivegreen,skyblue,turquoise
5482,KDELC1P1,grey,grey,midnightblue,grey
5483,FBN2,grey,grey,grey,grey
5484,SLC27A6,turquoise,turquoise,grey,grey
5485,ISOC1,turquoise,turquoise,lightcyan1,darkorange
5486,ADAMTS19-AS1,tan,tan,grey,grey
5487,ADAMTS19,grey,grey,grey,grey
5488,CHSY3,turquoise,turquoise,thistle1,turquoise
5489,RNU6ATAC10P,black,black,greenyellow,turquoise
5490,RNA5SP191,grey,grey,grey,grey
5491,HSPA8P4,grey,grey,greenyellow,grey
5492,HINT1,magenta,darkred,grey60,pink
5493,LYRM7,turquoise,turquoise,lightcyan1,turquoise
5494,CDC42SE2,turquoise,turquoise,thistle1,turquoise
5495,RAPGEF6,lightgreen,lightgreen,thistle1,turquoise
5496,FNIP1,black,black,greenyellow,turquoise
5497,ACSL6,turquoise,turquoise,thistle1,turquoise
5498,P4HA2,violet,darkorange2,darkred,skyblue
5499,PDLIM4,grey,grey,grey,grey
5500,SLC22A4,grey,grey,blue,blue
5501,MIR3936,blue,blue,blue,salmon
5502,SLC22A5,pink,pink,floralwhite,grey
5503,C5orf56,red,red,black,brown
5504,IRF1,white,white,darkorange,orange
5505,RAD50,palevioletred3,darkgreen,lightcyan,darkgreen
5506,TH2LCRR,blue,blue,black,green
5507,KIF3A,turquoise,turquoise,lightcyan1,turquoise
5508,CCNI2,brown,brown,floralwhite,red
5509,SEPT8,tan,tan,coral2,red
5510,SOWAHA,skyblue,skyblue,darkgrey,steelblue
5511,SHROOM1,brown,brown,coral2,brown
5512,GDF9,salmon,honeydew1,coral2,brown
5513,UQCRQ,darkred,darkred,grey60,pink
5514,LEAP2,orange,orange,lightcyan,darkgreen
5515,AFF4,darkorange,darkorange,saddlebrown,violet
5516,ZCCHC10,saddlebrown,navajowhite2,lavenderblush3,darkorange
5517,HSPA4,yellowgreen,grey60,paleturquoise,skyblue
5518,FSTL4,green,green,brown,brown
5519,MIR1289-2,green,green,brown,brown
5520,C5orf15,turquoise,turquoise,thistle1,turquoise
5521,VDAC1,darkred,darkred,grey60,pink
5522,SKP1,magenta,darkred,grey60,pink
5523,PPP2CA,turquoise,turquoise,thistle1,turquoise
5524,CDKL3,grey,grey,grey,darkorange
5525,UBE2B,saddlebrown,navajowhite2,mediumpurple3,darkorange
5526,CDKN2AIPNL,midnightblue,darkturquoise,brown4,pink
5527,JADE2,brown,brown,coral2,green
5528,SAR1B,turquoise,turquoise,lightcyan1,turquoise
5529,SEC24A,brown4,brown4,darkturquoise,magenta
5530,RNU6-757P,grey,grey,grey,magenta
5531,CAMLG,turquoise,turquoise,thistle1,turquoise
5532,DDX46,black,black,lightgreen,cyan
5533,C5orf24,thistle2,plum2,lightcyan1,magenta
5534,TXNDC15,turquoise,turquoise,thistle1,turquoise
5535,PCBD2,yellow,plum2,thistle1,turquoise
5536,MTND6P4,grey,grey,grey,grey
5537,MTND4P12,black,black,grey,grey
5538,CATSPER3,lightcyan,darkgrey,grey,grey
5539,H2AFY,red,red,brown,brown
5540,CXCL14,skyblue,skyblue,darkgrey,steelblue
5541,SLC25A48,turquoise,turquoise,thistle1,turquoise
5542,FBXL21,floralwhite,floralwhite,darkgrey,grey
5543,TGFBI,skyblue,skyblue,darkgrey,grey60
5544,SMAD5,darkgrey,darkgrey,mediumpurple3,darkorange
5545,TRPC7-AS1,grey,grey,grey,grey
5546,SPOCK1,paleturquoise,cyan,brown,brown
5547,KLHL3,cyan,cyan,cyan,brown
5548,MIR874,brown,brown,brown,green
5549,HNRNPA0,turquoise,turquoise,lightcyan1,magenta
5550,MYOT,grey,grey,grey,turquoise
5551,FAM13B,darkgrey,darkgrey,lightcyan1,darkgreen
5552,WNT8A,yellow,plum2,thistle1,turquoise
5553,NME5,turquoise,turquoise,thistle1,turquoise
5554,RNU6-888P,pink,pink,tan,midnightblue
5555,BRD8,red,red,darkred,brown
5556,CDC23,turquoise,turquoise,grey60,pink
5557,FAM53C,brown,brown,coral2,green
5558,KDM3B,purple,purple,black,purple
5559,REEP2,blue,blue,blue,blue
5560,EGR1,white,white,darkslateblue,lightyellow
5561,ETF1,magenta,darkred,grey60,pink
5562,HSPA9,darkseagreen4,darkseagreen4,lavenderblush3,darkorange
5563,SNORD63,grey60,grey60,lightcyan,darkgreen
5564,CTNNA1,brown,brown,coral2,salmon
5565,LRRTM2,cyan,cyan,cyan,lightyellow
5566,SIL1,tan,tan,blue,green
5567,RPL12P21,yellow,plum2,greenyellow,grey
5568,SNHG4,grey,grey,grey,darkorange
5569,SNORA74A,grey,grey,grey,grey
5570,MATR3,grey60,grey60,lightcyan,darkgreen
5571,RNA5SP195,grey60,grey60,grey,grey
5572,PAIP2,lightcyan,darkgrey,lightcyan1,darkorange
5573,PROB1,salmon,honeydew1,coral2,red
5574,SPATA24,brown,brown,blue,grey
5575,DNAJC18,midnightblue,darkturquoise,skyblue,blue
5576,TMEM173,blue,blue,tan,green
5577,UBE2D2,magenta,darkred,thistle1,pink
5578,CXXC5,tan,tan,black,green
5579,PSD2,midnightblue,darkturquoise,steelblue,blue
5580,NRG2,brown,brown,coral2,red
5581,LINC01024,black,black,greenyellow,turquoise
5582,PURA,darkgrey,darkgrey,darkturquoise,magenta
5583,IGIP,darkgrey,darkgrey,darkturquoise,magenta
5584,CYSTM1,blue,blue,brown4,blue
5585,PFDN1,blue,blue,blue,blue
5586,HBEGF,white,white,darkorange,brown
5587,SLC4A9,blue,blue,blue,green
5588,ANKHD1,lightgreen,lightgreen,thistle1,turquoise
5589,ANKHD1-EIF4EBP3,orange,orange,darkgreen,grey
5590,SRA1,brown,brown,coral2,red
5591,EIF4EBP3,blue,blue,blue,blue
5592,APBB3,blue,blue,blue,green
5593,SLC35A4,darkslateblue,darkslateblue,maroon,green
5594,CD14,pink,pink,tan,midnightblue
5595,NDUFA2,midnightblue,darkturquoise,brown4,blue
5596,TMCO6,blue,blue,blue,green
5597,IK,black,black,lightgreen,cyan
5598,WDR55,brown,brown,blue,red
5599,DND1,brown,brown,coral2,green
5600,HARS,blue,blue,blue,blue
5601,HARS2,blue,blue,blue,grey
5602,ZMAT2,magenta,darkred,grey60,pink
5603,VTRNA1-3,brown,brown,coral2,brown
5604,PCDHA1,grey,grey,grey,grey
5605,PCDHA2,grey,grey,coral2,grey
5606,PCDHA3,tan,tan,grey,grey
5607,PCDHA4,turquoise,turquoise,grey,grey
5608,PCDHA5,grey,grey,grey,brown
5609,PCDHA6,grey,grey,grey,grey
5610,PCDHA7,grey,grey,lavenderblush3,grey
5611,PCDHA8,darkgreen,darkgreen,greenyellow,grey
5612,PCDHA9,brown,brown,coral2,grey
5613,PCDHA10,lightcyan,darkgrey,lightcyan1,magenta
5614,PCDHA11,grey,grey,grey,grey
5615,PCDHA12,grey60,grey60,paleturquoise,grey
5616,PCDHA13,brown,brown,coral2,green
5617,PCDHAC1,blue,blue,blue,blue
5618,PCDHAC2,purple,purple,black,green
5619,PCDHB2,grey,grey,grey,grey
5620,PCDHB3,grey,grey,grey,grey
5621,PCDHB4,grey,grey,grey,grey
5622,PCDHB5,yellow,plum2,black,grey
5623,PCDHB6,green,green,brown,brown
5624,PCDHB17P,orange,orange,grey,grey
5625,PCDHB7,grey,grey,grey,grey
5626,PCDHB8,grey,grey,grey,blue
5627,PCDHB16,grey,grey,grey,grey
5628,PCDHB9,grey,grey,grey,brown
5629,PCDHB10,grey,grey,grey,grey
5630,PCDHB11,grey,grey,grey,lightyellow
5631,PCDHB12,grey,grey,grey,violet
5632,PCDHB13,plum1,darkslateblue,cyan,lightyellow
5633,PCDHB14,darkorange,darkorange,saddlebrown,violet
5634,PCDHB18P,grey,grey,grey,lightyellow
5635,PCDHB19P,grey,grey,grey,turquoise
5636,PCDHB15,grey,grey,lightcyan1,grey
5637,TAF7,saddlebrown,navajowhite2,lightcyan1,darkorange
5638,PCDHGA1,red,red,brown,brown
5639,PCDHGA2,grey,grey,grey,brown
5640,PCDHGA3,turquoise,turquoise,thistle1,grey
5641,PCDHGB1,grey,grey,grey,lightyellow
5642,PCDHGA4,green,green,brown,brown
5643,PCDHGB2,grey,grey,grey,brown
5644,PCDHGA5,grey,grey,grey,grey
5645,PCDHGB3,grey,grey,brown,brown
5646,PCDHGA6,orange,orange,saddlebrown,lightyellow
5647,PCDHGA7,cyan,cyan,cyan,lightyellow
5648,PCDHGB4,cyan,cyan,brown,brown
5649,PCDHGA8,grey,grey,grey,grey
5650,PCDHGB5,red,red,brown,brown
5651,PCDHGA9,green,green,brown,purple
5652,PCDHGB6,grey,grey,brown,brown
5653,PCDHGA10,orange,orange,saddlebrown,grey
5654,PCDHGB7,orange,orange,grey,grey
5655,PCDHGA11,grey,grey,darkgreen,brown
5656,PCDHGB8P,grey,grey,darkgreen,darkolivegreen
5657,PCDHGA12,green,green,brown,brown
5658,PCDHGB9P,grey,grey,grey,grey
5659,PCDHGC3,midnightblue,darkturquoise,steelblue,grey
5660,RN7SL68P,red,red,coral2,grey
5661,PCDHGC4,purple,purple,black,purple
5662,PCDHGC5,green,green,brown,purple
5663,DIAPH1,cyan,cyan,cyan,brown
5664,HDAC3,purple,purple,black,brown
5665,RELL2,blue,blue,brown4,blue
5666,FCHSD1,greenyellow,greenyellow,coral2,green
5667,ARAP3,red,red,sienna3,grey
5668,PCDH1,green,green,brown,brown
5669,KIAA0141,purple,purple,black,brown
5670,PCDH12,pink,pink,floralwhite,grey
5671,RNF14,magenta,darkred,grey60,pink
5672,GNPDA1,royalblue,royalblue,blue,blue
5673,NDFIP1,turquoise,turquoise,lightcyan1,magenta
5674,SPRY4,floralwhite,floralwhite,darkseagreen4,lightcyan1
5675,SPRY4-IT1,pink,pink,coral2,grey
5676,RPS12P10,darkturquoise,darkturquoise,brown4,grey
5677,FGF1,darkolivegreen,darkolivegreen,steelblue,skyblue3
5678,ARHGAP26,cyan,cyan,cyan,brown
5679,ARHGAP26-IT1,grey,grey,cyan,lightyellow
5680,NR3C1,lightcyan,darkgrey,grey,magenta
5681,RNU7-156P,grey,grey,lightcyan1,grey
5682,YIPF5,magenta,darkred,thistle1,pink
5683,KCTD16,yellow,plum2,darkturquoise,magenta
5684,CKS1BP5,grey,grey,grey,grey
5685,PRELID2,yellow,plum2,grey,turquoise
5686,SH3RF2,purple,purple,black,purple
5687,PLAC8L1,grey,grey,grey,grey
5688,LARS,turquoise,turquoise,greenyellow,turquoise
5689,RBM27,turquoise,turquoise,lightcyan1,turquoise
5690,TCERG1,lightgreen,lightgreen,thistle1,turquoise
5691,GPR151,turquoise,turquoise,grey,grey
5692,PPP2R2B,grey,grey,black,green
5693,RN7SL791P,grey,grey,black,grey
5694,KRT8P48,steelblue,steelblue,brown,brown
5695,PPP2R2B-IT1,yellow,plum2,thistle1,turquoise
5696,STK32A,grey,grey,grey,grey
5697,DPYSL3,cyan,cyan,cyan,lightyellow
5698,JAKMIP2,black,black,lightgreen,cyan
5699,HMGN1P16,grey,grey,grey,grey
5700,SPINK9,grey,grey,grey,grey
5701,FBXO38,turquoise,turquoise,thistle1,turquoise
5702,HTR4,red,red,brown,brown
5703,ADRB2,pink,pink,tan,midnightblue
5704,SH3TC2,steelblue,steelblue,violet,yellowgreen
5705,ABLIM3,green,green,brown,brown
5706,AFAP1L1,lightyellow,lightyellow,midnightblue,grey60
5707,GRPEL2,turquoise,turquoise,lightcyan1,turquoise
5708,GRPEL2-AS1,brown,brown,grey,brown
5709,PCYOX1L,blue,blue,black,blue
5710,CARMN,red,red,brown,grey60
5711,MIR145,grey,grey,grey60,grey
5712,CSNK1A1,yellow,plum2,greenyellow,turquoise
5713,RPL29P14,grey,grey,grey,grey
5714,ARHGEF37,steelblue,steelblue,grey,blue
5715,PPARGC1B,cyan,cyan,brown,brown
5716,MIR378A,grey,grey,grey60,blue
5717,SLC26A2,lightyellow,lightyellow,midnightblue,grey60
5718,TIGD6,darkred,darkred,grey60,pink
5719,HMGXB3,purple,purple,black,green
5720,CSF1R,pink,pink,tan,midnightblue
5721,RPL7P1,turquoise,turquoise,thistle1,turquoise
5722,PDGFRB,brown,brown,black,brown
5723,SLC6A7,brown,brown,coral2,green
5724,CAMK2A,red,red,black,purple
5725,ARSI,grey,grey,grey,grey
5726,TCOF1,greenyellow,greenyellow,coral2,brown
5727,CD74,pink,pink,tan,midnightblue
5728,RPS14,midnightblue,darkturquoise,brown4,pink
5729,NDST1,purple,purple,black,green
5730,SYNPO,brown,brown,coral2,brown
5731,MYOZ3,blue,blue,blue,blue
5732,RBM22,royalblue,royalblue,grey,grey
5733,DCTN4,cyan,cyan,black,lightyellow
5734,SMIM3,white,white,darkorange,orange
5735,ZNF300,turquoise,turquoise,thistle1,turquoise
5736,ZNF300P1,grey,grey,grey,grey
5737,GPX3,blue,blue,blue,blue
5738,TNIP1,greenyellow,greenyellow,coral2,brown
5739,ANXA6,darkturquoise,darkturquoise,brown4,blue
5740,CCDC69,salmon,honeydew1,blue,red
5741,GM2A,darkolivegreen,darkolivegreen,brown4,grey
5742,SLC36A1,darkslateblue,darkslateblue,black,purple
5743,SPARC,lightyellow,lightyellow,darkgrey,steelblue
5744,ATOX1,blue,blue,brown4,blue
5745,RPLP1P6,tan,tan,grey,grey
5746,G3BP1,saddlebrown,navajowhite2,mediumpurple3,darkorange
5747,GRIA1,thistle1,thistle1,brown,brown
5748,RN7SL177P,green,green,brown,brown
5749,FAM114A2,yellow,plum2,lightcyan1,magenta
5750,MFAP3,yellowgreen,grey60,paleturquoise,darkorange
5751,GALNT10,lightgreen,lightgreen,grey,grey
5752,SAP30L-AS1,grey,grey,grey,grey
5753,SAP30L,blue,blue,blue,grey
5754,LARP1,green,green,brown,brown
5755,FAXDC2,blue,blue,brown4,blue
5756,CNOT8,lightcyan,darkgrey,lightcyan1,magenta
5757,GEMIN5,grey,grey,grey,grey
5758,MRPL22,sienna3,sienna3,orangered4,mediumpurple3
5759,KIF4B,grey,grey,midnightblue,grey
5760,RNA5SP199,grey,grey,grey,grey
5761,SGCD,darkorange,darkorange,lightcyan1,magenta
5762,PPP1R2P3,sienna3,sienna3,orangered4,turquoise
5763,HAVCR1,green,green,brown,purple
5764,HAVCR2,pink,pink,tan,midnightblue
5765,MED7,turquoise,turquoise,thistle1,turquoise
5766,CYFIP2,paleturquoise,cyan,brown,lightyellow
5767,FNDC9,blue,blue,blue,blue
5768,ADAM19,purple,purple,black,purple
5769,NIPAL4,steelblue,steelblue,violet,green
5770,THG1L,brown,brown,coral2,grey
5771,LSM11,turquoise,turquoise,grey60,pink
5772,CLINT1,grey60,grey60,darkturquoise,darkolivegreen
5773,EBF1,yellow,plum2,floralwhite,grey60
5774,RNF145,grey,grey,grey,darkorange
5775,UBLCP1,turquoise,turquoise,thistle1,turquoise
5776,ADRA1B,brown,brown,brown,green
5777,TTC1,darkred,darkred,thistle1,pink
5778,PWWP2A,grey60,grey60,lightcyan,darkgreen
5779,FABP6,midnightblue,darkturquoise,plum1,blue
5780,CCNJL,brown,brown,coral2,red
5781,C1QTNF2,brown,brown,coral2,grey
5782,ZBED8,yellowgreen,grey60,paleturquoise,skyblue
5783,SLU7,black,black,lightgreen,cyan
5784,PTTG1,royalblue,royalblue,coral2,salmon
5785,MIR3142HG,grey,grey,grey,grey
5786,ATP10B,steelblue,steelblue,violet,yellowgreen
5787,GABRB2,plum2,plum2,lightcyan1,turquoise
5788,GABRA6,turquoise,turquoise,thistle1,turquoise
5789,GABRA1,orangered4,orangered4,skyblue,turquoise
5790,LINC01202,turquoise,turquoise,thistle1,turquoise
5791,GABRG2,purple,purple,maroon,green
5792,CCNG1,saddlebrown,navajowhite2,mediumpurple3,darkorange
5793,NUDCD2,saddlebrown,navajowhite2,lavenderblush3,darkorange
5794,HMMR,black,black,lightgreen,cyan
5795,MAT2B,turquoise,turquoise,thistle1,pink
5796,TENM2,paleturquoise,cyan,brown,lightyellow
5797,WWC1,brown,brown,coral2,green
5798,RARS,yellow,plum2,thistle1,turquoise
5799,FBLL1,blue,blue,coral2,salmon
5800,PANK3,lightcyan,darkgrey,mediumpurple3,magenta
5801,MIR103A1,grey,grey,grey,grey
5802,SLIT3,green,green,brown,brown
5803,SPDL1,black,black,thistle1,turquoise
5804,DOCK2,pink,pink,tan,midnightblue
5805,FAM196B,red,red,black,brown
5806,LCP2,white,white,darkorange,orange
5807,KCNIP1,turquoise,turquoise,brown4,blue
5808,RANBP17,yellow,plum2,thistle1,turquoise
5809,RN7SL623P,blue,blue,black,grey
5810,NPM1,skyblue3,skyblue3,lightgreen,pink
5811,FGF18,grey,grey,grey,grey
5812,FBXW11,orangered4,orangered4,skyblue,pink
5813,STK10,pink,pink,tan,brown
5814,UBTD2,turquoise,turquoise,lightcyan1,turquoise
5815,KLF3P1,grey,grey,grey,grey
5816,SH3PXD2B,green,green,brown,brown
5817,NEURL1B,thistle1,thistle1,brown,brown
5818,DUSP1,white,white,darkorange,magenta
5819,ERGIC1,brown,brown,coral2,green
5820,RPL26L1,darkred,darkred,grey60,pink
5821,ATP6V0E1,grey,grey,darkmagenta,grey
5822,SNORA74B,sienna3,sienna3,orangered4,mediumpurple3
5823,CREBRF,darkgrey,darkgrey,mediumpurple3,darkgreen
5824,BNIP1,darkturquoise,darkturquoise,grey,blue
5825,STC2,white,white,darkorange,orange
5826,BOD1,sienna3,sienna3,lightsteelblue1,grey
5827,LINC01484,brown,brown,darkgrey,grey
5828,CPEB4,plum2,plum2,lightcyan1,turquoise
5829,C5orf47,turquoise,turquoise,lightcyan1,turquoise
5830,LINC01411,lightyellow,lightyellow,midnightblue,grey60
5831,GAPDHP71,green,green,violet,grey
5832,SUMO2P6,grey,grey,thistle1,grey
5833,MSX2,lightyellow,lightyellow,midnightblue,grey60
5834,DRD1,greenyellow,greenyellow,coral2,brown
5835,SFXN1,turquoise,turquoise,darkslateblue,turquoise
5836,HRH2,green,green,brown,brown
5837,RNU6-226P,grey,grey,grey,turquoise
5838,CPLX2,blue,blue,blue,blue
5839,THOC3,blue,blue,blue,blue
5840,FAM153B,grey,grey,brown,grey
5841,SIMC1,green,green,cyan,brown
5842,BRCC3P1,grey,grey,grey,grey
5843,KIAA1191,blue,blue,blue,blue
5844,ARL10,cyan,cyan,brown,lightyellow
5845,MIR1271,grey,grey,grey,grey
5846,NOP16,royalblue,royalblue,darkmagenta,salmon
5847,HIGD2A,blue,blue,blue,blue
5848,CLTB,blue,blue,blue,blue
5849,FAF2,blue,blue,black,green
5850,RNF44,green,green,brown,brown
5851,CDHR2,red,red,brown,brown
5852,GPRIN1,greenyellow,greenyellow,coral2,green
5853,SNCB,blue,blue,blue,red
5854,EIF4E1B,brown,brown,blue,grey
5855,TSPAN17,brown,brown,coral2,red
5856,LINC01574,tan,tan,skyblue3,red
5857,UNC5A,green,green,brown,brown
5858,UIMC1,darkgreen,darkgreen,lightgreen,cyan
5859,ZNF346,brown,brown,black,brown
5860,ZNF346-IT1,grey,grey,sienna3,grey
5861,FGFR4,darkorange2,darkorange2,darkred,skyblue
5862,NSD1,cyan,cyan,cyan,lightyellow
5863,RAB24,salmon,honeydew1,skyblue3,red
5864,MXD3,greenyellow,greenyellow,coral2,brown
5865,PRELID1,darkturquoise,darkturquoise,brown4,blue
5866,LMAN2,royalblue,royalblue,coral2,red
5867,RGS14,brown,brown,coral2,red
5868,F12,royalblue,royalblue,skyblue3,red
5869,GRK6,tan,tan,coral2,red
5870,PRR7-AS1,greenyellow,greenyellow,coral2,green
5871,PRR7,salmon,honeydew1,coral2,brown
5872,DBN1,greenyellow,greenyellow,coral2,red
5873,PDLIM7,brown,brown,coral2,red
5874,DOK3,brown,brown,coral2,brown
5875,DDX41,blue,blue,black,green
5876,FAM193B,brown,brown,coral2,green
5877,TMED9,royalblue,royalblue,coral2,salmon
5878,B4GALT7,blue,blue,blue,blue
5879,FAM153A,grey,grey,brown,grey
5880,SUDS3P1,red,red,grey,brown
5881,FAM153C,grey,grey,brown,grey
5882,N4BP3,royalblue,royalblue,coral2,red
5883,RMND5B,blue,blue,black,blue
5884,NHP2,darkred,darkred,grey60,pink
5885,HNRNPAB,skyblue3,skyblue3,salmon4,brown4
5886,PHYKPL,brown,brown,black,brown
5887,COL23A1,tan,tan,blue,blue
5888,CLK4,turquoise,turquoise,plum2,turquoise
5889,RN7SKP70,turquoise,turquoise,thistle1,pink
5890,ZNF354A,black,black,lightgreen,cyan
5891,AACSP1,grey,grey,grey,grey
5892,ZNF354B,black,black,lightgreen,cyan
5893,ZFP2,lightgreen,lightgreen,thistle1,turquoise
5894,PIGFP1,grey,grey,grey,grey
5895,ZNF454,grey,grey,grey,brown
